,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,0.6816897450168049,2.9183401041074646,4.153315874172964,0.7774072771624221,1.2441419647903267,2.4935960669009916,1.5412825603008349,2.6068011728789466,4.891863409014469,3.715590408059928,3.2532819654813325,4.720840462558559
ah,2.9183401041074646,0.8767776088292824,1.7762129420438957,2.5500991658994856,3.870725231288953,2.3428526183886778,3.989770497596496,5.1848469557847405,3.071403636513924,2.575813463800665,1.3745793539155509,3.64316027075625
aw,4.153315874172964,1.776212942043896,0.583109070047969,3.708849496119477,4.8958942651254596,2.4237913185355,4.86272000090928,5.998203359839081,1.5921109497401895,1.7578735672107444,1.0362911726774946,2.5062678390160196
eh,0.7774072771624221,2.5500991658994856,3.708849496119477,0.636696521111452,1.472504798456685,2.0664073532409812,1.676280753494412,2.825493640030911,4.436458663223982,3.26900322229555,2.8053462245054868,4.291169502801581
ei,1.2441419647903267,3.870725231288953,4.895894265125459,1.472504798456685,0.679620912551866,2.8267458129000222,0.7750386144747022,1.5423646721462274,5.382850704711966,4.112067487011493,3.976016766418252,4.9642215354517925
er,2.4935960669009916,2.342852618388678,2.4237913185355,2.0664073532409812,2.8267458129000222,0.5701012025264166,2.660750821995249,3.701410248173592,2.6152551510409756,1.373136666467721,1.646426305502924,2.2931546392090763
ih,1.5412825603008349,3.989770497596496,4.86272000090928,1.676280753494412,0.7750386144747022,2.660750821995249,0.5855003743592508,1.305711417257117,5.21982257499841,3.9291027321853993,3.9502871447508467,4.704179985834404
iy,2.6068011728789466,5.1848469557847405,5.998203359839081,2.825493640030911,1.542364672146227,3.701410248173592,1.305711417257117,0.5729760008342186,6.214391285222987,4.918450173696933,5.096174668036473,5.549043171011645
oa,4.891863409014469,3.071403636513924,1.5921109497401895,4.4364586632239815,5.382850704711965,2.615255151040975,5.21982257499841,6.214391285222987,0.8752005252091408,1.43333264154476,1.9467966280916331,1.5021289504382955
oo,3.715590408059928,2.575813463800665,1.7578735672107444,3.26900322229555,4.112067487011492,1.3731366664677214,3.9291027321853993,4.9184501736969315,1.4333326415447603,0.7185043617786597,1.4720705438246677,1.3506494683951238
uh,3.2532819654813325,1.374579353915551,1.0362911726774948,2.8053462245054868,3.9760167664182515,1.646426305502924,3.9502871447508467,5.096174668036473,1.9467966280916333,1.4720705438246675,0.6292578513782209,2.4817842763555817
uw,4.7208404625585585,3.64316027075625,2.5062678390160196,4.29116950280158,4.9642215354517925,2.2931546392090763,4.7041799858344024,5.549043171011645,1.5021289504382955,1.350649468395124,2.4817842763555817,0.9072515790345073
