,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,0.818552728808247,3.3684112684570113,4.588745010037237,1.2009968972150242,1.399260191674463,2.903764130339562,1.6890580156285235,2.3576918263661355,5.425064448468639,4.487726823739882,3.445754752891516,5.326489325643669
ah,3.368411268457011,1.0037739454899328,1.9211982085951034,2.5265525011305066,4.411692874214873,2.956967871036507,4.4200681607580705,5.422930855723074,3.6248098755625575,3.3416838649719693,1.3830601433882574,4.182909450831583
aw,4.588745010037236,1.9211982085951034,0.9928183725249591,3.734499785582837,5.398884774762518,2.9533733577736037,5.223048541849855,6.298090979191148,2.1758391492006286,2.3850790710538012,1.4434637715147811,2.9795012661824334
eh,1.2009968972150242,2.5265525011305066,3.734499785582837,0.8575271403045719,2.0976345724365535,2.4285495288685084,2.223459444193261,3.1074412636794952,4.708843441001219,3.854391390285315,2.6037670197809093,4.73556257173502
ei,1.399260191674463,4.411692874214874,5.398884774762518,2.0976345724365535,0.8677458238103406,3.1181758719830253,0.9290661133113173,1.242826131750011,5.848969924225542,4.8012844716931316,4.259995631987802,5.537359166994236
er,2.903764130339562,2.956967871036507,2.9533733577736037,2.4285495288685084,3.1181758719830244,0.7748264649983801,2.720053148494636,3.7673975982401413,2.8683682442289054,1.8274955545405172,2.101525159786909,2.6028758553961353
ih,1.6890580156285235,4.4200681607580705,5.223048541849855,2.2234594441932614,0.9290661133113173,2.720053148494636,0.6526062864915506,1.2087743319683275,5.476600007325689,4.39732006520098,4.110142589050658,5.0872823830925125
iy,2.3576918263661355,5.422930855723074,6.298090979191147,3.1074412636794952,1.242826131750011,3.7673975982401413,1.2087743319683275,0.6352108873861914,6.516344815591319,5.429509522924516,5.179589513679382,6.076503529363947
oa,5.425064448468639,3.6248098755625575,2.1758391492006286,4.708843441001219,5.848969924225543,2.8683682442289054,5.476600007325689,6.516344815591319,1.1791044675755564,1.4845855418511635,2.572090660620435,1.53280166006098
oo,4.487726823739882,3.341683864971969,2.3850790710538017,3.854391390285315,4.8012844716931316,1.827495554540517,4.39732006520098,5.429509522924515,1.4845855418511638,0.9893833407803878,2.2482008342127924,1.424630854686989
uh,3.445754752891516,1.3830601433882577,1.443463771514781,2.603767019780909,4.259995631987802,2.101525159786909,4.110142589050658,5.179589513679381,2.572090660620435,2.2482008342127924,0.8424908990767891,3.0945984008965906
uw,5.326489325643669,4.182909450831584,2.979501266182434,4.73556257173502,5.537359166994236,2.6028758553961353,5.0872823830925125,6.076503529363947,1.53280166006098,1.424630854686989,3.0945984008965906,1.3427222212335561
