,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,6.326758451442425,13.206989400443756,13.753351533856856,7.6287054076183605,13.113606180519824,14.90363815814849,11.919743687058574,15.12982553216716,16.15383022777003,17.056065958521508,14.462671055693635,18.21601124565177
ah,13.206989400443756,11.56598491079409,12.872484524735928,12.66742410632112,14.979048388510538,15.914963278327276,15.200500598223066,16.394228016335603,14.28984404495407,15.751774122246363,11.996598785984622,16.227961374527684
aw,13.753351533856856,12.872484524735928,10.12818954514432,13.843641589295895,14.851260343287484,15.288334911817634,15.324623028423618,16.659511760511045,13.499087699630548,14.93680108463319,13.008325030943967,15.956623840405218
eh,7.6287054076183605,12.66742410632112,13.843641589295897,6.709603086492309,12.840209814814548,14.727294634683435,11.201237374001565,14.634348833192188,15.590940319668208,16.38573722874635,13.488209510661704,17.527752874348014
ei,13.113606180519824,14.979048388510538,14.851260343287482,12.840209814814548,6.921667822130772,16.151343758718163,14.062919541868109,13.72739999308364,15.740524482543742,17.213249355390374,15.553705549189981,17.64037987649667
er,14.90363815814849,15.914963278327276,15.288334911817634,14.727294634683435,16.151343758718163,8.245992666143342,14.294093565824838,15.814407234554238,16.23161574312955,15.695449740565678,16.188557144674963,16.46820093271604
ih,11.919743687058574,15.200500598223064,15.32462302842362,11.201237374001566,14.062919541868109,14.294093565824832,9.38458887210894,13.259433027284565,16.427342609661117,15.749997190872485,15.334922935589859,17.010074814288803
iy,15.129825532167159,16.394228016335603,16.659511760511045,14.63434883319219,13.72739999308364,15.814407234554238,13.259433027284565,8.70733173182503,16.40613398972681,16.570527618149285,16.594118653717747,16.72998680262162
oa,16.15383022777003,14.28984404495407,13.49908769963055,15.590940319668206,15.740524482543742,16.23161574312955,16.427342609661114,16.40613398972681,9.711586014165853,14.068626929238636,13.969700816174317,12.914559271396104
oo,17.056065958521508,15.751774122246363,14.93680108463319,16.385737228746354,17.213249355390374,15.695449740565678,15.749997190872485,16.570527618149285,14.068626929238638,9.885267581692016,14.252972494897545,12.019207467891237
uh,14.462671055693635,11.996598785984622,13.008325030943967,13.488209510661704,15.553705549189981,16.188557144674963,15.334922935589857,16.594118653717747,13.969700816174319,14.252972494897545,10.838313820337286,15.03080303442515
uw,18.21601124565177,16.227961374527684,15.956623840405218,17.527752874348018,17.640379876496674,16.46820093271604,17.010074814288803,16.72998680262162,12.914559271396103,12.019207467891237,15.030803034425148,9.859925149545033
