,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,8.136773569105781,11.012143103063273,11.0960591091728,8.155548663127087,10.749365395473067,12.113502186985134,10.331969165156522,12.055895337495048,12.596160874329156,13.397264070532227,11.878375032192531,13.982249133968095
ah,11.012143103063273,9.426316068065297,10.493951604095797,10.81048197508021,11.557268997792272,12.39731339401893,11.570791789298893,12.825034112846197,10.719462808054153,12.407091825795522,10.048412673632884,12.69860806476076
aw,11.0960591091728,10.493951604095797,9.630112034533518,11.065350432581155,12.013220813713206,12.290125019062765,12.139677578671712,13.407925144028209,11.291011154539026,12.292989755451176,10.979744572395417,12.959922989677922
eh,8.155548663127087,10.81048197508021,11.065350432581155,7.685528837792306,10.585217081190837,12.07457976341859,10.156740006890756,11.909491831267358,12.50047738210839,13.315444035510675,11.56682956499957,13.968560059827297
ei,10.749365395473069,11.557268997792272,12.013220813713206,10.585217081190837,8.214375557552923,12.524928614529447,10.995142677904417,11.710798333043932,12.210024279673087,13.40983309998033,11.910207402809647,13.711876900460156
er,12.113502186985134,12.397313394018932,12.290125019062765,12.074579763418592,12.52492861452945,7.827119677059439,11.659107631113502,12.476131293243405,13.101814118599602,12.855005721982703,12.771530799359526,13.915550640895171
ih,10.331969165156522,11.570791789298893,12.139677578671714,10.156740006890756,10.995142677904415,11.659107631113502,9.539116157490675,11.293822146411143,12.35560785925807,12.928680977140708,11.989174528978472,13.332035750693889
iy,12.055895337495048,12.825034112846195,13.407925144028207,11.909491831267358,11.71079833304393,12.476131293243403,11.29382214641114,9.40064278383016,13.05392684199698,13.876330558398012,13.295575388439998,13.940281842263305
oa,12.596160874329154,10.719462808054155,11.291011154539026,12.50047738210839,12.210024279673087,13.101814118599602,12.35560785925807,13.05392684199698,7.786537626393613,11.473850054259271,10.919083942046765,10.445776133296286
oo,13.397264070532225,12.407091825795522,12.292989755451178,13.315444035510675,13.40983309998033,12.855005721982703,12.928680977140708,13.87633055839801,11.473850054259273,9.971634754435549,12.167783808363128,10.87067276829072
uh,11.87837503219253,10.048412673632882,10.979744572395417,11.566829564999567,11.910207402809647,12.771530799359526,11.989174528978472,13.295575388439998,10.919083942046765,12.16778380836313,10.088758393528897,12.545332880827168
uw,13.982249133968095,12.698608064760762,12.959922989677922,13.968560059827297,13.711876900460156,13.915550640895171,13.332035750693889,13.940281842263307,10.445776133296286,10.87067276829072,12.545332880827168,9.52218480787905
