,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,24.32988274537581,34.33820052369196,36.476620611542906,25.468369911239176,35.476135358410524,37.77415176492049,32.29607235666886,45.26278702455214,43.02128804189746,38.62413481839644,33.91650025209041,49.486175762438236
ah,34.33820052369196,26.358656809559236,29.089890988144624,34.74809712774181,43.76345892978642,39.038866491339085,43.68513937394609,51.69969499833837,40.156915719153595,37.919327211798695,28.998591392422828,47.47737946850374
aw,36.47662061154291,29.089890988144624,24.357238672008116,36.9124053662017,43.146196839091694,38.65217417054191,43.24640206824929,49.44298760419131,33.56647893266942,34.06140115228373,27.38571452333226,42.04660309803829
eh,25.468369911239176,34.74809712774181,36.91240536620172,24.677641238980883,34.823410501526716,36.20487410161106,30.9032717069308,45.20263775006583,42.47410004144434,36.671036277319025,32.63936094588259,48.38455033462835
ei,35.476135358410524,43.76345892978642,43.146196839091694,34.82341050152671,25.138155763636178,39.26618409925838,29.485567066767707,32.62598827429806,39.886253074561246,38.55868884993367,40.394301408971366,42.52256151640723
er,37.77415176492049,39.038866491339085,38.65217417054191,36.20487410161106,39.26618409925838,25.323243350005733,36.48996287211334,46.51241533421887,38.68211178047092,33.456262191724925,35.32317468810226,40.731467159840555
ih,32.29607235666886,43.68513937394609,43.246402068249296,30.9032717069308,29.485567066767707,36.48996287211334,25.03873763554761,36.08019697685563,41.60622338589749,36.14334252248007,39.17800692753632,43.76076968902384
iy,45.26278702455214,51.699694998338366,49.442987604191316,45.202637750065826,32.62598827429807,46.51241533421887,36.08019697685563,28.92962262380033,44.043161478633756,43.613203574001474,48.35050976166367,41.95959545921262
oa,43.02128804189746,40.156915719153595,33.56647893266942,42.47410004144434,39.886253074561246,38.68211178047092,41.60622338589749,44.04316147863375,25.362147927540363,32.5539176899604,36.029894813686035,32.53704035943631
oo,38.62413481839644,37.919327211798695,34.06140115228373,36.671036277319025,38.55868884993367,33.456262191724925,36.143342522480076,43.613203574001474,32.5539176899604,26.60250621194065,31.0310678657428,35.08703926251959
uh,33.91650025209041,28.998591392422824,27.38571452333226,32.63936094588259,40.39430140897136,35.32317468810226,39.17800692753632,48.35050976166367,36.029894813686035,31.0310678657428,25.14815140176072,42.877657985859365
uw,49.48617576243823,47.47737946850374,42.04660309803828,48.38455033462835,42.52256151640723,40.731467159840555,43.76076968902384,41.95959545921262,32.53704035943631,35.087039262519596,42.877657985859365,30.22122825464819
