,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,33.18434189868624,41.24118458746223,42.650884515308846,37.392355272841634,45.43399631431394,45.34030336358151,39.9177895555404,50.005406673721595,50.617413353919694,46.49901098262239,43.071696374766276,53.89336012817501
ah,41.24118458746223,30.961822496014374,34.065479505896924,39.27139955332759,50.39909413886557,44.846941120650406,47.449539431046304,54.397210704013496,48.06625665743251,44.88095234499766,34.847928160379304,53.28574047372555
aw,42.65088451530884,34.065479505896924,32.02948225485674,41.83101424014549,50.63114949976108,44.43252804902719,47.73143110146229,53.86056645567902,45.10908365166511,41.95130372715593,35.50232584204959,50.19280719268731
eh,37.39235527284164,39.27139955332758,41.83101424014549,33.54792774434929,44.28941149403739,42.36809302099316,39.94111423809848,50.58043284746428,48.29914546767927,44.64685923136905,39.17975456482997,52.97662033933791
ei,45.43399631431394,50.39909413886557,50.63114949976108,44.28941149403739,30.934753288059408,43.41142366742622,40.57018962440389,37.88869770208978,44.79895091572489,47.64128539748501,48.31889633932065,46.9649534420822
er,45.34030336358151,44.846941120650406,44.43252804902719,42.36809302099316,43.41142366742622,32.665189745959495,42.765342928450615,47.70692268933409,42.8275453774581,41.16762056615708,43.13433868927189,44.73865879247201
ih,39.917789555540395,47.4495394310463,47.73143110146229,39.941114238098486,40.57018962440389,42.76534292845061,33.195999774848374,42.68631876999495,48.24802545631673,42.74885786790561,45.07391874166714,48.657208134491626
iy,50.005406673721595,54.397210704013496,53.86056645567903,50.58043284746428,37.88869770208978,47.706922689334085,42.68631876999495,31.28291284101253,49.07574351204518,49.90512474325714,53.36015949331551,45.19260408613564
oa,50.61741335391969,48.06625665743251,45.1090836516651,48.29914546767927,44.798950915724895,42.8275453774581,48.24802545631673,49.07574351204518,31.436546953719297,43.505222709097616,46.17041039891149,38.9046263964002
oo,46.499010982622394,44.88095234499766,41.95130372715593,44.64685923136905,47.64128539748501,41.16762056615708,42.74885786790561,49.90512474325714,43.505222709097616,33.8924386824742,40.269021878279204,43.724074029888385
uh,43.071696374766276,34.847928160379304,35.50232584204959,39.17975456482997,48.31889633932066,43.13433868927189,45.07391874166714,53.36015949331551,46.17041039891149,40.2690218782792,32.26832797370994,51.58091736439949
uw,53.89336012817501,53.285740473725554,50.19280719268731,52.97662033933791,46.96495344208219,44.738658792472016,48.657208134491626,45.19260408613564,38.9046263964002,43.72407402988839,51.58091736439949,34.56256946121048
