,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,34.10334220008138,44.169668437227344,47.83895384391783,35.64731204540379,45.887772581784596,47.88911216582032,40.92089500036088,54.253745977752175,55.547033898475085,48.91125524469097,44.566948396722744,59.992105002725815
ah,44.16966843722734,35.11299384552163,38.15502739399304,43.7663444366858,55.90417370028291,49.4308327654159,53.081856019714266,62.83885920798,51.80825015344186,47.1407649425704,37.97896006262692,58.39309615391006
aw,47.83895384391783,38.15502739399304,34.47111968544216,47.493081152747976,56.46282683984779,49.52321927563094,54.30695076757763,61.98491155194794,45.74997071822463,43.86176883188896,37.14200302102205,53.43232016980311
eh,35.64731204540378,43.7663444366858,47.49308115274797,33.403162177983944,45.19257058415529,45.45962207324114,39.050188236056925,54.16603908925763,53.972399465348516,45.60422256015155,41.67193087247738,57.948407632709205
ei,45.88777258178459,55.90417370028292,56.46282683984779,45.19257058415531,35.6786584041139,49.589848322860426,42.17056018871408,42.409496044182006,52.499309362179815,51.42292189988891,52.86179825259261,54.50393681426891
er,47.88911216582032,49.4308327654159,49.52321927563094,45.45962207324115,49.589848322860426,34.526159577522264,47.060674058969674,55.5635257987456,48.991005488488106,43.15034271174536,45.0297484249929,49.16628461695617
ih,40.92089500036088,53.081856019714266,54.30695076757764,39.05018823605693,42.17056018871408,47.060674058969674,34.60891520432826,46.71888802717411,54.790354671482724,46.297991702124264,48.62382750777124,54.923495601721406
iy,54.253745977752175,62.83885920798,61.98491155194794,54.16603908925762,42.409496044182006,55.56352579874561,46.7188880271741,37.38127026598514,56.71064797971397,55.70731666378822,59.979365827586804,53.70449580173177
oa,55.547033898475085,51.80825015344186,45.74997071822463,53.972399465348516,52.49930936217981,48.991005488488106,54.790354671482724,56.71064797971396,36.67378765109949,44.861259660274186,46.904985734593076,43.10092882250568
oo,48.91125524469098,47.1407649425704,43.86176883188896,45.60422256015155,51.42292189988891,43.15034271174536,46.297991702124264,55.70731666378822,44.861259660274186,35.604789683085755,39.25655553657652,45.381595959979705
uh,44.56694839672274,37.97896006262692,37.14200302102204,41.67193087247739,52.86179825259261,45.0297484249929,48.623827507771246,59.97936582758681,46.904985734593076,39.25655553657653,33.619202064165776,52.61975397405837
uw,59.992105002725815,58.39309615391006,53.43232016980311,57.948407632709205,54.50393681426891,49.16628461695617,54.923495601721406,53.704495801731774,43.10092882250568,45.38159595997971,52.619753974058376,38.9337059669659
