,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,53.332459305714025,67.60578463784604,71.42232061906324,59.38177916257383,74.29977841265837,77.38839568064559,65.5639912588705,81.61184176652732,83.67660459512996,76.22075685091609,69.60391203949966,88.86896279056711
ah,67.60578463784604,50.05878569513799,56.093292393651964,64.9713059420033,84.7898507675208,75.76962438138099,79.19311041794403,88.95849869676131,77.97490321054659,72.12247235170133,56.66935074472656,85.7284235522332
aw,71.42232061906324,56.093292393651964,51.4997724999397,70.54142009579972,86.44927060922646,77.1457276996196,81.13237270043797,89.6111402194176,72.09054990536352,68.16709302973709,58.45435239383691,81.34556539583608
eh,59.38177916257383,64.97130594200331,70.54142009579972,52.802591315189325,72.73689389602869,71.62884533352863,63.7669092306267,82.04773921199734,80.16684161113314,71.41792046405205,63.446854476859166,86.13561016454307
ei,74.29977841265837,84.7898507675208,86.44927060922646,72.73689389602869,53.12744188548214,75.83902356391755,65.703986208373,62.619972205785494,78.53217592621495,80.03000050396427,82.10998679888881,80.81187138736557
er,77.38839568064559,75.76962438138099,77.1457276996196,71.62884533352863,75.83902356391755,54.532721621051586,72.5451070532177,82.08301686189232,74.2108235420309,67.72934961125989,72.33570573984565,75.21208292886602
ih,65.5639912588705,79.19311041794401,81.13237270043797,63.7669092306267,65.703986208373,72.5451070532177,54.02749416077643,70.08087276517664,81.1764565837251,71.59344239170198,74.705723721747,81.40541775403916
iy,81.61184176652732,88.95849869676131,89.6111402194176,82.04773921199734,62.61997220578548,82.08301686189232,70.08087276517664,51.91461286558543,83.40555054023065,83.49290237633213,88.12549079127763,77.9342796859368
oa,83.67660459512996,77.97490321054659,72.09054990536352,80.16684161113314,78.53217592621495,74.2108235420309,81.1764565837251,83.40555054023066,53.61376237974424,70.56027370762558,75.61349152470557,64.48523378711897
oo,76.22075685091606,72.12247235170132,68.16709302973707,71.41792046405203,80.03000050396427,67.72934961125989,71.59344239170198,83.49290237633213,70.56027370762557,54.893953620413264,63.453972016524354,71.45623226894458
uh,69.60391203949965,56.669350744726565,58.45435239383691,63.446854476859166,82.1099867988888,72.33570573984565,74.705723721747,88.12549079127763,75.61349152470557,63.45397201652437,51.395285242406054,83.36368374713477
uw,88.86896279056711,85.7284235522332,81.34556539583609,86.13561016454308,80.81187138736556,75.21208292886605,81.40541775403919,77.9342796859368,64.48523378711897,71.45623226894458,83.36368374713477,58.04055301083922
